,date_time,ticker,headline,neg,neu,pos,compound
62,2020-09-23 08:13:00,NKE,Dow Jones Futures Jump 200 Points As Nike Soars 13% On Earnings; Tesla Dives On Battery Day,0.0,1.0,0.0,0.0
63,2020-09-23 07:57:00,NKE,Nikes Earnings Were Incredible. How the Company Just Did It.,0.0,1.0,0.0,0.0
64,2020-09-23 07:36:00,NKE,Nike is crushing competitors and Wall Street is obsessed again with the stock,0.276,0.7240000000000001,0.0,-0.4939
65,2020-09-23 07:26:00,NKE,"What Tuesday Was, Nasdaq 100 Is Key, Halftime for a Vaccine, Nike Crushes It",0.195,0.805,0.0,-0.4404
66,2020-09-23 07:16:00,NKE,"Stock market news live updates: Stock futures point to a second day of gains, extending September's selling reprieve",0.0,0.87,0.13,0.34
67,2020-09-23 07:10:00,NKE,"Tesla, Nike, Dow Futures, Aurora Cannabis - 5 Things You Must Know Wednesday",0.0,1.0,0.0,0.0
68,2020-09-23 06:56:00,NKE,Futures rise ahead of business activity data; Nike shines,0.0,1.0,0.0,0.0
69,2020-09-23 06:54:00,NKE,US STOCKS-Futures rise ahead of business activity data; Nike shines,0.0,1.0,0.0,0.0
70,2020-09-23 06:19:00,NKE,The DJIA Leads as Sloppy Rotational Action Continues,0.0,1.0,0.0,0.0
71,2020-09-23 05:56:00,NKE,"Nike Jumps After Reporting Surprise Earnings Gain, Accelerating Online Sales",0.0,0.593,0.407,0.6705
72,2020-09-23 03:03:00,NKE,European stocks extend recovery ahead of PMIs; Adidas jumps,0.0,0.825,0.175,0.1779
73,2020-09-23 02:12:00,NKE,Nike Pops 13% As 1Q Online Sales Jump 82%,0.0,1.0,0.0,0.0
74,2020-09-22 22:53:00,NKE,Nike Tramples Analyst Expectations With Its Q1 2021 Results,0.0,1.0,0.0,0.0
75,2020-09-22 22:21:00,NKE,Nike expects permanent shift to online sales,0.0,1.0,0.0,0.0
76,2020-09-22 22:00:00,NKE,Nike Inc (NKE) Q1 2021 Earnings Call Transcript,0.0,1.0,0.0,0.0
77,2020-09-22 18:05:00,NKE,Nike Returns to Growth Amid Pandemic,0.0,0.6579999999999999,0.342,0.3818
78,2020-09-22 17:50:00,NKE,Nike Doubles Profit Estimates on Strong Digital Sales,0.0,0.4920000000000001,0.508,0.7351
79,2020-09-22 17:43:00,NKE,'It's very important that we get the consumer going again': Portfolio Manager,0.0,0.84,0.16,0.2716
80,2020-09-22 17:22:00,NKE,"Amazon best-positioned aggregator in fragmented e-commerce market, says analyst",0.0,0.825,0.175,0.1779
81,2020-09-22 17:14:00,NKE,"Nasdaq Jumps 180 Points, Led By Amazon, Lululemon; Tesla Slumps Ahead Of Battery Day",0.0,0.884,0.116,0.1779
82,2020-09-22 16:55:00,NKE,Nike brand digital sales jump 82% in Q1,0.0,1.0,0.0,0.0
83,2020-09-22 16:44:00,NKE,"Nike Reports Q1 Earnings Beat, Digital Sales Up 82% YoY",0.0,1.0,0.0,0.0
84,2020-09-22 16:43:00,NKE,"Nike Blows Past Analysts Estimates, Sending Stock Up High Single Digits",0.0,1.0,0.0,0.0
85,2020-09-22 16:42:00,NKE,Nike Earnings: What Happened with NKE,0.0,1.0,0.0,0.0
86,2020-09-22 16:27:00,NKE,"Nike smashes revenue, profit estimates on China demand, online boom",0.121,0.645,0.234,0.34
87,2020-09-22 16:19:00,NKE,Nike stock rallies after big earnings beat,0.0,1.0,0.0,0.0
88,2020-09-22 16:17:00,NKE,Nike swings back to a quarterly profit as digital sales surge 82%,0.0,0.775,0.225,0.4404
