,date_time,ticker,headline,neg,neu,pos,compound,Unnamed: 0
89,2020-09-17 11:56:00,NFLX,CORRECTED-US STOCKS-Tech sell-off hits Wall St as jobless claims remain high,0.0,1.0,0.0,0.0,
90,2020-09-17 10:10:00,NFLX,Missed Out on Snowflake? Here Are 3 IPOs That Came Back for You,0.16699999999999998,0.833,0.0,-0.29600000000000004,
91,2020-09-17 07:48:00,NFLX,Netflix Seems to Be on Its Way to 100 Million Subscribers in This Key Market,0.0,1.0,0.0,0.0,
92,2020-09-17 06:00:00,NFLX,Influencers with Andy Serwer: Jay Shetty,0.0,1.0,0.0,0.0,
93,2020-09-16 16:33:00,NFLX,3 Nasdaq Stocks to Buy Off Their Corrective Bottoms,0.0,1.0,0.0,0.0,
94,2020-09-16 16:33:00,NFLX,How the biggest stocks from 2000 performed in subsequent years,0.0,1.0,0.0,0.0,
96,2020-09-16 16:04:00,NFLX,"Berry Global: IBD 50 Stock With 69% EPS, 50% Sales Growth, Packages New Base",0.0,0.833,0.16699999999999998,0.3818,
97,2020-09-16 12:23:00,NFLX,Better Buy: Amazon vs. Netflix,0.0,0.395,0.605,0.5574,
98,2020-09-16 10:00:00,NFLX,Better Buy: iQiyi vs. Netflix,0.0,0.58,0.42,0.4404,
99,2020-09-16 09:35:00,NFLX,A Disney+ Price Hike Is Coming -- Eventually,0.0,1.0,0.0,0.0,
0,2020-09-29 16:25:00,NFLX,"Netflix Inc. stock rises Tuesday, outperforms market",0.0,1.0,0.0,0.0,
1,2020-09-29 12:45:00,NFLX,Better Buy: Netflix vs. Alphabet,0.0,0.58,0.42,0.4404,
2,2020-09-29 09:00:00,NFLX,Disney+ adds a co-watching feature called GroupWatch,0.0,1.0,0.0,0.0,
3,2020-09-29 08:53:00,NFLX,Jefferies Ramps Up Netflixs PT On Price Hike Bet,0.0,1.0,0.0,0.0,
4,2020-09-29 08:23:00,NFLX,Has Netflix Earned Another Price Increase?,0.0,0.685,0.315,0.3182,
1,2020-09-30 16:25:00,NFLX,"Netflix Inc. stock rises Wednesday, outperforms market",0.0,1.0,0.0,0.0,
2,2020-09-30 16:12:00,NFLX,"Streaming Wars Likely A Fallacy, As Netflix, Other Leaders Hold Strong",0.242,0.537,0.221,-0.0772,
3,2020-09-30 14:26:00,NFLX,"Alphabet Inc's Google launches Google TV, new Chromecast",0.0,1.0,0.0,0.0,
4,2020-09-30 14:24:00,NFLX,"Google Launches $99 Nest Audio Speaker, New Chromecast TV Device",0.0,1.0,0.0,0.0,
5,2020-09-30 13:55:00,NFLX,Jon Najarian Sees Unusual Options Activity In Netflix And Bed Bath & Beyond,0.0,1.0,0.0,0.0,
6,2020-09-30 13:02:00,NFLX,Buy These 2 Stocks Today Before Another Market Dip,0.0,1.0,0.0,0.0,
7,2020-09-30 09:00:00,NFLX,Google Is Stoking Antitrust Criticisms at the Worst Possible Time,0.429,0.5710000000000001,0.0,-0.7184,
8,2020-09-30 08:15:00,NFLX,"Lessons You Can Learn From 2 Stocks That Turned $10,000 Into Millions",0.0,1.0,0.0,0.0,
9,2020-09-30 07:00:00,NFLX,"As Disney Retreats, AT&T and Comcast Have Options",0.0,1.0,0.0,0.0,
2020-10-01 22:05:00,,NFLX,Options investor makes big bets on Nasdaq's popular 'FANG' stocks,0.0,0.763,0.237,0.4215,0.0
2020-10-01 17:40:00,,NFLX,Why Netflix Stock Jumped Today,0.0,1.0,0.0,0.0,2.0
2020-10-01 16:47:00,,NFLX,"Nasdaq Jumps 159 Points, Led By AMD Stock, Tesla, Netflix; Top Chip Stock Eyes Breakout",0.0,0.8859999999999999,0.114,0.2023,3.0
2020-10-01 16:06:00,,NFLX,Why the Container Store Is Soaring Today,0.0,1.0,0.0,0.0,5.0
2020-10-01 15:17:00,,NFLX,Dow Jones Pares Gains As Coronavirus Relief Hopes Fade; These Stocks Break Out,0.0,0.546,0.45399999999999996,0.8074,6.0
2020-10-01 13:09:00,,NFLX,"Netflix May Be Mulling a Price Increase, but Now's Not the Time",0.0,0.858,0.142,0.1655,7.0
2020-10-01 09:05:00,,NFLX,"Zoom, Purell, and Netflix Got the Biggest Boost From the Coronavirus Pandemic: Survey",0.0,0.816,0.184,0.4019,8.0
